model_key,problem_idx,sample_idx,mean_logprob,total_logprob,response_length_tokens,response_length_chars,sqrt_length_normalized_logprob,length_penalized_logprob,boxed_answer_present,extracted_answer_present,answer_format_valid,final_answer_length,contains_therefore,equation_count,latex_marker_count,correct
3B,1,18,-0.08868343922348272,-42.03595019193081,474,850,-1.9307751381368683,-4.828683439223483,1,1,1,2,0,1,40,0
3B,1,19,-0.0728080097544999,-149.1108039772158,2048,3883,-3.294914395014603,-20.5528080097545,0,0,0,0,1,8,121,0
3B,1,20,-0.11318036293618845,-231.79338329331395,2048,3854,-5.12195853627734,-20.593180362936188,0,0,0,0,0,6,144,0
3B,1,21,-0.09666676131083159,-197.9735271645831,2048,3792,-4.374638236046746,-20.576666761310832,0,0,0,0,0,12,156,0
3B,1,22,-0.09324795101712402,-190.97180368307,2048,3823,-4.219920543741402,-20.573247951017123,0,0,0,0,0,6,153,0
3B,1,23,-0.10731702281867528,-219.78526273264697,2048,4237,-4.856614052597552,-20.587317022818677,0,0,0,0,0,9,150,0
3B,1,24,-0.14622357495264424,-286.30575975727743,1958,3588,-6.4702899255939075,-19.726223574952645,1,1,1,27,1,15,145,0
3B,1,25,-0.1616853316418054,-151.82252641165528,939,1885,-4.954540900382723,-9.551685331641806,1,1,1,9,1,4,56,0
3B,1,26,-0.11314559552802643,-138.7165001173604,1226,2394,-3.9617118793953563,-12.373145595528026,1,1,1,13,1,7,93,0
3B,1,27,-0.10497753233014452,-112.53591465791493,1072,2043,-3.437112540971513,-10.824977532330145,1,1,1,6,1,2,71,0
3B,1,28,-0.16404875840036065,-53.315846480117216,325,671,-2.957431050443521,-3.4140487584003605,1,1,1,2,1,2,22,0
3B,1,29,-0.08461163935479984,-173.28463739863008,2048,3740,-3.8290856931257293,-20.5646116393548,0,0,0,0,0,11,130,0
3B,1,30,-0.09337735451635647,-127.6468436238593,1367,2529,-3.45243748241138,-13.763377354516356,1,1,1,5,1,3,86,0
3B,1,31,-0.10347103498854743,-211.90867965654513,2048,3752,-4.6825645117947134,-20.58347103498855,0,0,0,0,1,6,125,0
3B,1,32,-0.10828287242030608,-221.76332271678686,2048,4036,-4.900323415984397,-20.588282872420308,0,0,0,0,1,13,133,0
3B,1,33,-0.12145878934189877,-125.83130575820712,1036,1879,-3.909388450730131,-10.481458789341898,1,1,1,25,0,5,77,0
3B,1,34,-0.08410587491182119,-172.2488318194098,2048,3824,-3.806197407217682,-20.56410587491182,0,0,0,0,0,8,144,0
3B,1,35,-0.12639741497468113,-162.29428082749055,1284,2284,-4.529191711748329,-12.966397414974681,1,1,1,15,0,2,96,0
3B,1,36,-0.13932142736171882,-218.87396238526028,1571,2884,-5.522122133005537,-15.84932142736172,1,1,1,6,0,7,115,0
3B,1,37,-0.04879001185666441,-26.5905564618821,545,993,-1.1390142953670652,-5.498790011856665,1,1,1,5,0,1,40,0
3B,1,38,-0.09365020729284709,-191.79562453575085,2048,3913,-4.238124584723074,-20.573650207292847,0,0,0,0,0,6,138,0
3B,1,39,-0.04972874948685732,-64.59764558342766,1299,2317,-1.7923058150491702,-13.039728749486857,1,1,1,12,0,1,109,0
3B,1,40,-0.14662653732748224,-300.2911484466836,2048,3993,-6.635559606154567,-20.626626537327482,1,1,1,1,1,13,144,0
3B,1,41,-0.20992850029473606,-215.17671280210445,1025,2222,-6.7209913418257665,-10.459928500294737,1,1,1,7,1,9,51,0
3B,1,42,-0.1595188335800858,-326.69457117201574,2048,4063,-7.2189983328926095,-20.639518833580087,0,0,0,0,1,6,149,0
3B,1,43,-0.08393373308253818,-171.8962853530382,2048,3734,-3.7984071573097222,-20.56393373308254,0,0,0,0,0,4,160,0
3B,1,44,-0.05626333410724345,-115.22730825163458,2048,3827,-2.546187845081357,-20.536263334107243,0,0,0,0,0,5,135,0
3B,1,45,-0.14491980395759171,-228.39361103716456,1576,3119,-5.7531519479909745,-15.904919803957592,1,1,1,26,1,6,117,0
3B,1,46,-0.06561994449079846,-38.91262708304348,593,1062,-1.5979500709285173,-5.995619944490798,1,1,1,23,0,1,49,0
3B,1,47,-0.0453625549134906,-92.90251246282875,2048,3643,-2.052874892241686,-20.525362554913492,0,0,0,0,0,1,159,0
3B,2,0,-0.11030268211464932,-61.659199302088965,559,1231,-2.6079062598303118,-5.700302682114649,1,1,1,12,0,0,28,1
3B,2,1,-0.08826382261644874,-28.067895592030702,318,668,-1.5739694271973652,-3.268263822616449,1,1,1,12,0,0,1,1
3B,2,2,-0.09510290947731394,-44.98367618276949,473,1101,-2.0683516345067465,-4.825102909477314,1,1,1,12,0,0,20,1
3B,2,3,-0.1296074706833107,-61.30433363320595,473,1004,-2.81877626358064,-4.8596074706833114,1,1,1,12,0,0,1,1
3B,2,4,-0.09707410712760565,-40.86819910072198,421,990,-1.9917941504120855,-4.3070741071276055,1,1,1,12,0,0,17,1
3B,2,5,-0.06866346300633759,-34.26306804016246,499,1026,-1.5338255783691062,-5.058663463006337,1,1,1,12,0,0,1,1
3B,2,6,-0.10393696410862,-58.30863686493582,561,1315,-2.4617925779913694,-5.71393696410862,1,1,1,12,0,0,1,1
3B,2,7,-0.04301623588790438,-14.324406550672158,333,693,-0.784972643560243,-3.3730162358879046,1,1,1,12,0,0,17,1
3B,2,8,-0.10067157931759367,-62.81906549417845,624,1476,-2.5147752453359122,-6.340671579317594,1,1,1,12,0,0,21,1
3B,2,9,-0.09803090100359003,-50.681975818856046,517,1334,-2.2289907478867246,-5.26803090100359,1,1,1,12,0,0,19,1
3B,2,10,-0.09866248718527071,-48.541943695153186,492,1123,-2.188439831882792,-5.018662487185271,1,1,1,12,0,0,19,1
3B,2,11,-0.3448280469531434,-440.34541595916414,1277,3773,-12.322477420144383,-13.114828046953143,1,1,1,12,0,0,35,1
3B,2,12,-0.04788080651363755,-20.205700348755045,422,899,-0.9835981033284269,-4.267880806513637,1,1,1,12,0,0,17,1
3B,2,13,-0.06023474287711458,-33.61098652542994,558,1214,-1.4228665191104313,-5.640234742877115,1,1,1,12,0,16,19,1
3B,2,14,-0.09865598152935669,-45.67771944809215,463,1117,-2.1228236493345642,-4.728655981529356,1,1,1,12,0,0,1,1
3B,2,15,-0.13048483690949905,-64.19853975947353,492,1192,-2.894293694555356,-5.050484836909499,1,1,1,12,0,0,1,1
3B,2,16,-0.09241737531074334,-52.49306917650222,568,1392,-2.20256025463496,-5.772417375310743,1,1,1,12,0,0,24,1
3B,2,17,-0.22290894614886034,-141.5471808045263,635,1737,-5.617128528303332,-6.572908946148861,1,1,1,12,0,0,18,0
3B,2,18,-0.11045538914685984,-52.13494367731785,472,1001,-2.3997052927448745,-4.830455389146859,1,1,1,12,0,8,17,1
3B,2,19,-0.08627166729069,-54.17860705855332,628,1309,-2.161961785607817,-6.3662716672906905,1,1,1,12,0,0,1,1
3B,2,20,-0.09600081189726961,-49.24841650329931,513,1152,-2.174370706427868,-5.226000811897269,1,1,1,12,0,7,21,1
3B,2,21,-0.10193799979046672,-53.51744988999503,525,1210,-2.3356930011610317,-5.351937999790467,1,1,1,12,0,8,18,1
3B,2,22,-0.08976588171286033,-38.50956325481708,429,901,-1.8592592341967331,-4.37976588171286,1,1,1,12,0,0,23,1
3B,2,23,-0.09141417306098865,-41.593448742749835,455,941,-1.9499309530270794,-4.641414173060989,1,1,1,12,0,0,19,1
3B,2,24,-0.06605832602493211,-33.82186292476524,512,1076,-1.4947292891539612,-5.186058326024932,1,1,1,12,0,0,20,1
3B,2,25,-0.06634585043544823,-30.519091200306185,460,1028,-1.4229599643705084,-4.666345850435449,1,1,1,12,0,0,20,1
3B,2,26,-0.05450952706471049,-19.895977378619328,365,762,-1.0414030523283087,-3.7045095270647104,1,1,1,12,0,0,18,1
3B,2,27,-0.08498369850789671,-41.3870611733457,487,1149,-1.8754267591360345,-4.954983698507897,1,1,1,12,0,0,20,1
3B,2,28,-0.07619030384898909,-39.99990952071927,525,1102,-1.745739173048389,-5.326190303848989,1,1,1,12,0,6,22,1
3B,2,29,-0.08325410091738479,-41.37728815594024,497,1099,-1.8560250331884964,-5.053254100917385,1,1,1,12,0,0,22,1
3B,2,30,-0.0716950793992883,-25.881923663143077,361,777,-1.3622065085864776,-3.681695079399288,1,1,1,12,0,0,20,1
3B,2,31,-0.09757113972857191,-57.274259020671714,587,1390,-2.363961659959057,-5.967571139728572,1,1,1,12,0,0,22,1
3B,2,32,-0.07349771651093959,-29.987068336463352,408,867,-1.484581101721141,-4.153497716510939,1,1,1,12,0,0,1,1
3B,2,33,-0.053217571447082085,-27.51348443814144,517,1071,-1.2100416620286152,-5.223217571447082,1,1,1,12,0,0,1,1
3B,2,34,-0.06787057907193533,-30.813242898658643,454,1062,-1.446137143778612,-4.607870579071935,1,1,1,12,0,0,1,1
3B,2,35,-0.06183033934685078,-24.237493023965506,392,855,-1.2241782625862607,-3.9818303393468506,1,1,1,12,0,0,15,1
3B,2,36,-0.060892539405842515,-28.132353205499243,462,1006,-1.3088355229534927,-4.680892539405843,1,1,1,12,0,0,20,1
3B,2,37,-0.09033387360688454,-47.96728688525569,531,1252,-2.081602947432064,-5.400333873606885,1,1,1,12,0,0,1,1
3B,2,38,-0.09968984912682666,-45.15950165445248,453,968,-2.1217784772626587,-4.629689849126827,1,1,1,12,0,0,20,1
3B,2,39,-0.13296730263439316,-65.95178210665901,496,1091,-2.9613224361176353,-5.092967302634393,1,1,1,12,0,0,1,1
3B,2,40,-0.06827967108436885,-30.452733303628506,446,1066,-1.441978714680546,-4.528279671084369,1,1,1,12,0,0,20,1
3B,2,41,-0.13433092501856927,-50.37409688196348,375,872,-2.6013071773877803,-3.884330925018569,1,1,1,12,0,0,19,1
3B,2,42,-0.08461716497712586,-38.07772423970664,450,1038,-1.795001134803196,-4.584617164977126,1,1,1,12,0,0,19,1
3B,2,43,-0.06376474586138417,-29.33178309623672,460,1009,-1.367601438575135,-4.663764745861385,1,1,1,12,1,0,20,1
3B,2,44,-0.07192088962465143,-33.299371896213614,463,1015,-1.547553052634319,-4.701920889624652,1,1,1,12,0,0,20,1
3B,2,45,-0.11090998681712513,-52.68224373813444,475,1083,-2.4172271218263837,-4.860909986817125,1,1,1,12,0,0,18,1
3B,2,46,-0.07882984394324234,-38.94194290796172,494,1147,-1.7520808435347026,-5.018829843943243,1,1,1,12,0,0,20,1
3B,2,47,-0.05790910716570622,-28.143826082533224,486,991,-1.276629876145163,-4.917909107165706,1,1,1,12,0,0,19,1
3B,3,0,-0.22407234142347707,-55.12179599017536,246,768,-3.51443735055639,-2.684072341423477,1,1,1,1,1,0,0,1
3B,3,1,-0.2057666352048675,-27.161195847042507,132,397,-2.3640786530033973,-1.5257666352048675,1,1,1,1,1,0,0,1
3B,3,2,-0.1314966425500765,-20.776469522912087,158,407,-1.6528871668407765,-1.7114966425500766,1,1,1,1,0,0,0,1
3B,3,3,-0.2836719168312837,-49.358913528643356,174,508,-3.7418895779244794,-2.0236719168312836,1,1,1,1,1,0,0,1
3B,3,4,-0.16591380595984298,-39.98522723632216,241,625,-2.57567490824199,-2.575913805959843,1,1,1,1,1,0,0,1
3B,3,5,-0.33118133541564526,-65.57390441229776,198,525,-4.660134464978736,-2.3111813354156454,1,1,1,2,1,0,0,0
3B,3,6,-0.12092432339345412,-21.16175659385447,175,452,-1.599678435789149,-1.870924323393454,1,1,1,1,1,0,0,1
3B,3,7,-0.11013548512282269,-27.313600310460025,248,632,-1.7344153541304328,-2.590135485122823,1,1,1,2,1,0,0,0
3B,3,8,-0.18624707603126747,-35.014450293878284,188,544,-2.5536912472100037,-2.0662470760312677,1,1,1,1,0,0,0,1
3B,3,9,-0.2213515781113282,-42.49950299737501,192,594,-3.0671374369949715,-2.141351578111328,1,1,1,1,1,0,0,1
3B,3,10,-0.31671409111630333,-54.47482367200417,172,476,-4.153666364550683,-2.0367140911163033,1,1,1,1,1,0,0,0
3B,3,11,-0.19175411872887582,-35.28275784611315,184,522,-2.601079417685234,-2.031754118728876,1,1,1,1,1,0,0,1
3B,3,12,-0.27899569827731513,-56.07813535374034,201,544,-3.9554466917285813,-2.2889956982773154,1,1,1,1,1,0,0,1
3B,3,13,-0.23288269724529562,-43.08329899037969,185,570,-3.167547138576653,-2.082882697245296,1,1,1,1,1,0,0,1
3B,3,14,-0.17958635601868697,-26.2196079787283,146,412,-2.169950196004117,-1.639586356018687,1,1,1,1,0,0,0,1
3B,3,15,-0.20040813649123357,-33.06734252105354,165,442,-2.574289123886761,-1.8504081364912337,1,1,1,1,0,0,0,1
3B,3,16,-0.25204219770087033,-35.789992073523585,142,427,-3.003429416168726,-1.6720421977008701,1,1,1,1,0,0,0,1
3B,3,17,-0.14447067091223695,-26.004720764202652,180,505,-1.9382774454885803,-1.944470670912237,1,1,1,1,1,0,0,1
3B,3,18,-0.1628574979938397,-30.29149462685418,186,519,-2.2210801483564953,-2.0228574979938396,1,1,1,1,1,0,0,1
3B,3,19,-0.1408464085377225,-29.436899384384006,209,586,-2.0361929075548764,-2.2308464085377224,1,1,1,2,1,0,0,0
3B,3,20,-0.1831550837614623,-50.91711328568652,278,798,-3.0538055191403037,-2.9631550837614626,1,1,1,1,1,0,0,1
3B,3,21,-0.16200198487843925,-30.942379111781896,191,489,-2.2389119752616056,-2.0720019848784395,1,1,1,1,0,0,0,1
3B,3,22,-0.12206948213440127,-22.82699315913304,187,501,-1.6692750623012644,-1.9920694821344014,1,1,1,1,1,0,0,1
3B,3,23,-0.15641621441151232,-25.183010520253482,161,408,-1.9846992651440518,-1.7664162144115125,1,1,1,1,1,0,0,1
3B,3,24,-0.14905242841789026,-26.531332258384467,178,518,-1.9886074278937291,-1.9290524284178903,1,1,1,1,0,0,0,1
3B,3,25,-0.15959556412320397,-30.642348311655162,192,506,-2.211421005792048,-2.079595564123204,1,1,1,1,1,0,0,1
3B,3,26,-0.18434461426650378,-34.47244286783621,187,495,-2.52087468615466,-2.054344614266504,1,1,1,1,1,0,0,1
3B,3,27,-0.1980233319265585,-32.079779772102476,162,425,-2.520425535091633,-1.8180233319265586,1,1,1,1,1,0,0,1
3B,3,28,-0.19555808847708678,-34.418223571967275,176,476,-2.5943712167904827,-1.955558088477087,1,1,1,1,1,0,0,1
3B,3,29,-0.17207665021969304,-33.89910009327953,197,610,-2.415210878891039,-2.142076650219693,1,1,1,1,1,0,0,1
3B,3,30,-0.20427888797013133,-41.67289314590679,204,543,-2.9176861158020317,-2.244278887970131,1,1,1,2,1,0,0,0
3B,3,31,-0.31896038086267425,-63.1541554108095,198,570,-4.488170391472712,-2.2989603808626744,1,1,1,1,0,0,0,1
3B,3,32,-0.22313924607678653,-26.99984877529117,121,374,-2.454531706844652,-1.4331392460767864,1,1,1,1,0,0,0,1
3B,3,33,-0.2053996344937047,-38.615131284816485,188,538,-2.8162978982749194,-2.085399634493705,1,1,1,1,1,0,0,1
3B,3,34,-0.12660516133005464,-23.295349684730056,184,517,-1.7173559634144828,-1.9666051613300548,1,1,1,1,1,0,0,1
3B,3,35,-0.11515188548859982,-24.98795915102616,217,541,-1.6962931971663315,-2.2851518854885997,1,1,1,1,1,0,0,1
3B,3,36,-0.2789497658525594,-54.39520434124908,195,585,-3.89532149051828,-2.228949765852559,1,1,1,1,1,0,0,1
3B,3,37,-0.22411986877369608,-39.220977035396814,175,502,-2.964827183218152,-1.974119868773696,1,1,1,1,1,0,0,1
3B,3,38,-0.22581718709738446,-41.098728051723974,182,507,-3.0464404083980825,-2.0458171870973847,1,1,1,2,0,0,0,0
3B,3,39,-0.177148304377329,-36.13825409297512,204,585,-2.530183873896838,-2.217148304377329,1,1,1,1,1,0,0,1
3B,3,40,-0.38593680506630673,-76.41548740312874,198,532,-5.430612218336724,-2.3659368050663065,1,1,1,1,1,0,0,1
3B,3,41,-0.11652779589252148,-22.256809015471603,191,560,-1.6104461798438676,-2.0265277958925214,1,1,1,1,1,0,0,1
3B,3,42,-0.1592629348215629,-26.596910115201005,167,484,-2.0581306960764723,-1.8292629348215628,1,1,1,1,0,0,0,1
3B,3,43,-0.15139365953822057,-32.3982431411792,214,575,-2.214698307163342,-2.2913936595382207,1,1,1,1,1,0,0,1
3B,3,44,-0.09769561872242796,-14.165864714752054,145,437,-1.1764110327797475,-1.547695618722428,1,1,1,1,0,0,0,1
3B,3,45,-0.12128350565774548,-25.590819693784297,211,547,-1.761744682159544,-2.2312835056577454,1,1,1,1,1,0,0,1
3B,3,46,-0.18777679105431358,-36.05314388242821,192,539,-2.6019115407065296,-2.1077767910543135,1,1,1,1,1,0,0,0
3B,3,47,-0.13889016843313692,-29.30582553939189,211,537,-2.0174962317779594,-2.2488901684331366,1,1,1,1,1,0,0,1
3B,4,0,-0.09381701959231316,-37.0577227389637,395,1367,-1.8645763862732645,-4.043817019592313,1,1,1,32,1,0,5,0
3B,4,1,-0.18198778480567332,-88.44606341555723,486,1727,-4.011994909739962,-5.0419877848056736,1,1,1,3,0,0,5,0
3B,4,2,-0.08734299692289953,-31.44347889224383,360,1187,-1.6572168476486442,-3.6873429969228995,1,1,1,6,1,0,0,1
3B,4,3,-0.29153412929847544,-120.40359540027035,413,1299,-5.92467360699505,-4.421534129298475,1,1,1,6,1,0,10,1
3B,4,4,-0.2560685794148609,-122.4007809603035,478,1652,-5.598481410148154,-5.036068579414861,1,1,1,6,1,0,0,0
3B,4,5,-0.11084718720909251,-110.9580343963016,1001,3545,-3.507048048014137,-10.120847187209092,1,1,1,1,0,0,0,0
3B,4,6,-0.17360576427843397,-81.7683149751424,471,1650,-3.7676850737580647,-4.883605764278434,1,1,1,6,1,0,5,1
3B,4,7,-0.1643939464049847,-47.181062618230605,287,957,-2.7850100680952,-3.0343939464049847,1,1,1,1,1,0,5,0
3B,4,8,-0.3498440300193652,-122.09556647675845,349,1240,-6.53562583259832,-3.8398440300193655,1,1,1,12,0,0,0,0
3B,4,9,-0.10678000971529998,-29.791622710568696,279,854,-1.7835777982664722,-2.8967800097153,1,1,1,1,0,0,5,0
3B,4,10,-0.15023202177906952,-57.839328384941766,385,1145,-2.9477651266024107,-4.00023202177907,1,1,1,6,1,0,0,0
3B,4,11,-0.16459593406357098,-80.32281582302264,488,1571,-3.636043027386583,-5.044595934063571,1,1,1,6,0,0,13,1
3B,4,12,-0.11922898610925092,-32.668742193934754,274,824,-1.9735908920663743,-2.859228986109251,1,1,1,6,1,0,0,1
3B,4,13,-0.09629999271366718,-63.94319516187501,664,1825,-2.4814772270115966,-6.7362999927136675,1,1,1,6,0,0,0,1
3B,4,14,-0.09347819766274242,-28.043459298822725,300,1007,-1.6190898775183613,-3.0934781976627423,1,1,1,6,0,0,5,1
3B,4,15,-0.14486593110342041,-79.09679838246754,546,2002,-3.3850304791797186,-5.60486593110342,1,1,1,6,1,0,10,0
3B,4,16,-0.14236811112712816,-54.384618450562954,382,961,-2.7825591463931563,-3.9623681111271285,1,1,1,13,1,0,0,1
